condition,probe,policy_id,enactment_year,topics,slope,endpoint_delta
talkie_cpt,yes_no,US-2021-IIJA,2021,environment,-0.005457,-0.042748
talkie_cpt,yes_no,US-2021-JUNETEENTH,2021,,-0.001342,0.019827
talkie_cpt,yes_no,US-2022-BRUEN,2022,,0.001728,0.048141
talkie_cpt,yes_no,US-2022-CHIPS,2022,,-0.005930,0.034033
talkie_cpt,yes_no,US-2022-DOBBS,2022,,0.000915,0.027456
talkie_cpt,yes_no,US-2022-IRA,2022,environment|finance_banking|health_medical,-0.004515,0.035621
talkie_cpt,yes_no,US-2022-BIPARTISAN-SAFER-COMMUNITIES,2022,labor_wages|health_medical|crim_justice,-0.005093,-0.003088
talkie_cpt,yes_no,US-2022-RESPECT-MARRIAGE,2022,,0.001691,0.064449
talkie_cpt,yes_no,US-2022-ELECTORAL-COUNT-REFORM,2022,,0.002705,0.097964
talkie_cpt,likert,US-1935-NIRA-SCHECHTER,1935,,0.019832,0.047852
talkie_cpt,likert,US-1935-NLRA,1935,labor_wages,0.011279,0.027649
talkie_cpt,likert,US-1935-SOCIAL-SECURITY,1935,labor_wages|social_welfare,0.013696,0.038485
talkie_cpt,likert,US-1936-AAA-BUTLER,1936,finance_banking,0.014401,0.029937
talkie_cpt,likert,US-1937-JONES-LAUGHLIN,1937,labor_wages,0.020412,0.060052
talkie_cpt,likert,US-1937-WEST-COAST-HOTEL,1937,labor_wages,0.019010,0.063304
talkie_cpt,likert,US-1938-FDCA,1938,health_medical,0.015271,0.062982
talkie_cpt,likert,US-1938-FLSA,1938,labor_wages,0.011412,0.047382
talkie_cpt,likert,US-1941-EO8802,1941,civil_rights|labor_wages|natl_security,0.011320,0.048071
talkie_cpt,likert,US-1935-PUHCA,1935,,0.011212,0.027397
talkie_cpt,likert,US-1936-RURAL-ELECTRIFICATION,1936,,0.015180,0.045191
talkie_cpt,likert,US-1939-HATCH-ACT,1939,,0.012017,0.018316
talkie_cpt,likert,US-1940-SELECTIVE-TRAINING,1940,,0.008530,0.020176
talkie_cpt,likert,US-1940-SMITH-ACT,1940,crim_justice,0.006614,-0.005976
talkie_cpt,likert,US-1941-DARBY,1941,labor_wages,0.009523,0.057897
talkie_cpt,likert,US-1941-LEND-LEASE,1941,natl_security,0.008091,0.040817
talkie_cpt,likert,US-1942-WICKARD,1942,,0.010655,0.144108
